nomeFaculdade,nomeCurso,nomeTipo,nomeTurno,nomeModalidade,nomeLocal,nomePreco
"Universidade Paulista","Nutrição","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 484,46"
"Universidade Paulista","Engenharia Elétrica com ênfase em Eletrônica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 483,14"
"Universidade Paulista","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 483,14"
"Universidade Paulista","Engenharia Mecânica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 483,14"
"Faculdade BILAC","Administração","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 377,30"
"ETEP Faculdades","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 216,75"
"Universidade Paulista","Psicologia","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 764,95"
"Faculdade BILAC","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 377,30"
"Universidade Paulista","Administração","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 566,09"
"Universidade Paulista","Arquitetura e Urbanismo","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 483,14"
"Universidade Paulista","Nutrição","BACHARELADO (GRADUAÇÃO)","NOITE","i-online-school
Presencial","i-school
Jardim das Indústrias  - São José dos Campos","R$ 484,46"
"Universidade Paulista","Ciências Biológicas","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 215,30"
"Universidade Paulista","Engenharia Elétrica com ênfase em Eletrônica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 420,02"
"Universidade Paulista","Engenharia Civil","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 420,02"
"Universidade Paulista","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 420,02"
"ETEP Faculdades","Administração","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 426,30"
